cloud,tree_id,dbh_method,volume_method,dbh_cm,height_m,cbc_rel_m,cbc_abs_m,volume_m3,mass_kg,commercial_volume_m3,commercial_mass_kg,status,n_trunk_pts,n_commercial_pts
talhao_62_25x25_round2_crop_100,39,single_ransac,voxel,,18.688599824905396,18.688599824905396,20.851699829101562,0.06462500000000002,58.162500000000016,0.06462500000000002,58.162500000000016,ok,524,524
talhao_62_25x25_round2_crop_100,39,single_ransac,taper,,18.688599824905396,18.688599824905396,20.851699829101562,,,,,error: Insuficientes amostras de raio para o método taper.,524,524
talhao_62_25x25_round2_crop_100,39,single_ransac,frustum,,18.688599824905396,18.688599824905396,20.851699829101562,0.5847792259906912,526.3013033916221,0.5847792259906888,526.3013033916199,ok,524,524
talhao_62_25x25_round2_crop_100,39,single_ransac,axis_profile,,18.688599824905396,18.688599824905396,20.851699829101562,,,,,error: Insufficient valid slices for 'axis_profile' volume estimation.,524,524
talhao_62_25x25_round2_crop_100,39,ls,cylinder,,18.688599824905396,18.688599824905396,20.851699829101562,,,,,error: dbh_cm or CBC is missing for cylinder volume,524,524
talhao_62_25x25_round2_crop_100,39,ls,voxel,,18.688599824905396,18.688599824905396,20.851699829101562,0.06462500000000002,58.162500000000016,0.06462500000000002,58.162500000000016,ok,524,524
talhao_62_25x25_round2_crop_100,39,ls,taper,,18.688599824905396,18.688599824905396,20.851699829101562,,,,,error: Insuficientes amostras de raio para o método taper.,524,524
talhao_62_25x25_round2_crop_100,39,ls,frustum,,18.688599824905396,18.688599824905396,20.851699829101562,0.5847792259906919,526.3013033916227,0.5847792259906947,526.3013033916252,ok,524,524
talhao_62_25x25_round2_crop_100,39,ls,axis_profile,,18.688599824905396,18.688599824905396,20.851699829101562,,,,,error: Insufficient valid slices for 'axis_profile' volume estimation.,524,524
talhao_62_25x25_round2_crop_100,43,ensemble,cylinder,,20.370699286460876,20.370699286460876,21.984699249267578,,,,,error: dbh_cm or CBC is missing for cylinder volume,422,422
talhao_62_25x25_round2_crop_100,43,ensemble,voxel,,20.370699286460876,20.370699286460876,21.984699249267578,0.05237500000000001,47.13750000000001,0.05237500000000001,47.13750000000001,ok,422,422
talhao_62_25x25_round2_crop_100,43,ensemble,taper,,20.370699286460876,20.370699286460876,21.984699249267578,,,,,error: Insuficientes amostras de raio para o método taper.,422,422
talhao_62_25x25_round2_crop_100,43,ensemble,frustum,,20.370699286460876,20.370699286460876,21.984699249267578,,,,,error: Insuficientes amostras de raio para o método frustum.,422,422
talhao_62_25x25_round2_crop_100,43,ensemble,axis_profile,,20.370699286460876,20.370699286460876,21.984699249267578,,,,,error: Insufficient valid slices for 'axis_profile' volume estimation.,422,422
talhao_62_25x25_round2_crop_100,43,single_ransac,cylinder,,20.370699286460876,20.370699286460876,21.984699249267578,,,,,error: dbh_cm or CBC is missing for cylinder volume,422,422
talhao_62_25x25_round2_crop_100,43,single_ransac,voxel,,20.370699286460876,20.370699286460876,21.984699249267578,0.05237500000000001,47.13750000000001,0.05237500000000001,47.13750000000001,ok,422,422
talhao_62_25x25_round2_crop_100,43,single_ransac,taper,,20.370699286460876,20.370699286460876,21.984699249267578,,,,,error: Insuficientes amostras de raio para o método taper.,422,422
talhao_62_25x25_round2_crop_100,43,single_ransac,frustum,,20.370699286460876,20.370699286460876,21.984699249267578,,,,,error: Insuficientes amostras de raio para o método frustum.,422,422
talhao_62_25x25_round2_crop_100,43,single_ransac,axis_profile,,20.370699286460876,20.370699286460876,21.984699249267578,,,,,error: Insufficient valid slices for 'axis_profile' volume estimation.,422,422
talhao_62_25x25_round2_crop_100,43,ls,cylinder,,20.370699286460876,20.370699286460876,21.984699249267578,,,,,error: dbh_cm or CBC is missing for cylinder volume,422,422
talhao_62_25x25_round2_crop_100,43,ls,voxel,,20.370699286460876,20.370699286460876,21.984699249267578,0.05237500000000001,47.13750000000001,0.05237500000000001,47.13750000000001,ok,422,422
talhao_62_25x25_round2_crop_100,43,ls,taper,,20.370699286460876,20.370699286460876,21.984699249267578,,,,,error: Insuficientes amostras de raio para o método taper.,422,422
talhao_62_25x25_round2_crop_100,43,ls,frustum,,20.370699286460876,20.370699286460876,21.984699249267578,,,,,error: Insuficientes amostras de raio para o método frustum.,422,422
talhao_62_25x25_round2_crop_100,43,ls,axis_profile,,20.370699286460876,20.370699286460876,21.984699249267578,,,,,error: Insufficient valid slices for 'axis_profile' volume estimation.,422,422
talhao_62_25x25_round2_crop_100,45,ensemble,cylinder,91.09421314866756,1.3123998641967773,0.2624799728393555,3.064480018615723,0.8553377420879652,769.8039678791687,0.17106754841759306,153.96079357583375,ok,167,6
talhao_62_25x25_round2_crop_100,45,ensemble,voxel,91.09421314866756,1.3123998641967773,0.2624799728393555,3.064480018615723,0.020125000000000004,18.112500000000004,0.0007500000000000002,0.6750000000000002,ok,167,6
talhao_62_25x25_round2_crop_100,45,ensemble,taper,91.09421314866756,1.3123998641967773,0.2624799728393555,3.064480018615723,0.8602081582293366,774.187342406403,0.039977820622612514,35.98003856035126,ok,167,6
talhao_62_25x25_round2_crop_100,45,ensemble,frustum,91.09421314866756,1.3123998641967773,0.2624799728393555,3.064480018615723,0.5779208712250767,520.128784102569,0.03997782062370009,35.98003856133008,ok,167,6
talhao_62_25x25_round2_crop_100,45,ensemble,axis_profile,91.09421314866756,1.3123998641967773,0.2624799728393555,3.064480018615723,,,,,error: Insufficient points for 'axis_profile' volume estimation.,167,6
talhao_62_25x25_round2_crop_100,45,single_ransac,cylinder,,1.3123998641967773,0.2624799728393555,3.064480018615723,,,,,error: dbh_cm or CBC is missing for cylinder volume,167,6
talhao_62_25x25_round2_crop_100,45,single_ransac,voxel,,1.3123998641967773,0.2624799728393555,3.064480018615723,0.020125000000000004,18.112500000000004,0.0007500000000000002,0.6750000000000002,ok,167,6
talhao_62_25x25_round2_crop_100,45,single_ransac,taper,,1.3123998641967773,0.2624799728393555,3.064480018615723,0.9856314576650632,887.0683118985569,0.03997782062439851,35.98003856195866,ok,167,6
talhao_62_25x25_round2_crop_100,45,single_ransac,frustum,,1.3123998641967773,0.2624799728393555,3.064480018615723,0.5559288634902296,500.3359771412067,0.03997782062370004,35.98003856133003,ok,167,6
talhao_62_25x25_round2_crop_100,45,single_ransac,axis_profile,,1.3123998641967773,0.2624799728393555,3.064480018615723,,,,,error: Insufficient points for 'axis_profile' volume estimation.,167,6
talhao_62_25x25_round2_crop_100,45,ls,cylinder,20.254611262141037,1.3123998641967773,0.2624799728393555,3.064480018615723,0.04228670858891052,38.058037730019464,0.008457341717782105,7.611607546003894,ok,167,6
talhao_62_25x25_round2_crop_100,45,ls,voxel,20.254611262141037,1.3123998641967773,0.2624799728393555,3.064480018615723,0.020125000000000004,18.112500000000004,0.0007500000000000002,0.6750000000000002,ok,167,6
talhao_62_25x25_round2_crop_100,45,ls,taper,20.254611262141037,1.3123998641967773,0.2624799728393555,3.064480018615723,0.740209111765824,666.1882005892417,0.03997782062372271,35.98003856135044,ok,167,6
